Date,HCWs M,HCWs F,Other FLWs M,Other FLWs F,Elderly ? 50years M,Elderly ? 50years F,Youth 18-49years M,Youth 18-49years F,AEFI Serious,AEFI Unserious,Vaccine Dials Rcd,Vaccine Dials Used
23-Aug-21,1,5,2,6,7,16,71,46,0,0,12,12
24-Aug-21,5,3,6,1,58,26,117,88,0,0,25,25
25-Aug-21,6,6,1,1,52,39,106,118,0,0,26,26
26-Aug-21,9,2,34,28,68,39,159,105,0,0,34,34
27-Aug-21,11,10,36,20,52,46,146,141,0,0,36,36
28-Aug-21,1,4,2,6,27,17,121,94,0,0,22,22
29-Aug-21,0,0,0,0,14,6,24,25,0,0,6,6
30-Aug-21,8,8,25,35,76,53,201,164,0,0,42,42
31-Aug-21,4,6,1,5,51,31,172,121,0,0,30,30
1-Sep-21,2,8,8,8,72,36,158,80,0,0,28,28
2-Sep-21,5,3,11,5,25,15,64,53,0,0,13,13
3-Sep-21,6,7,2,0,39,32,105,92,0,0,21,21
4-Sep-21,3,8,3,0,28,34,107,109,0,0,21,21
5-Sep-21,0,0,0,0,14,11,22,16,0,0,5,5
6-Sep-21,9,19,7,7,73,52,158,160,0,0,36,36
7-Sep-21,9,3,22,26,66,45,215,165,0,0,43,43
8-Sep-21,8,9,3,1,65,42,124,116,0,0,31,31
9-Sep-21,5,20,1,0,32,6,48,40,0,0,12,12
10-Sep-21,0,0,0,0,13,11,12,22,0,0,5,5
11-Sep-21,2,0,23,28,36,33,139,90,0,0,30,30
12-Sep-21,0,0,0,0,0,1,3,6,0,0,1,1
13-Sep-21,0,0,0,0,1,1,4,7,0,0,1,1
14-Sep-21,0,8,51,34,58,30,133,125,0,0,33,33
15-Sep-21,0,0,0,0,0,2,5,2,0,0,1,1
16-Sep-21,5,4,40,31,85,70,252,261,0,0,58,58
17-Sep-21,2,8,39,28,89,77,215,248,0,0,53,53
18-Sep-21,2,1,26,20,26,17,109,106,0,0,27,27
19-Sep-21,0,0,0,0,12,13,34,37,0,0,11,11
20-Sep-21,2,3,27,38,87,72,171,145,0,0,36,36
21-Sep-21,0,0,27,19,30,32,111,116,0,0,26,26
22-Sep-21,0,0,7,10,4,5,4,1,0,0,3,3
23-Sep-21,0,0,22,15,16,19,28,27,0,0,10,10
24-Sep-21,1,1,38,24,37,45,48,31,0,0,18,18
25-Sep-21,0,0,8,13,11,8,30,22,0,0,9,9
26-Sep-21,0,0,0,0,7,6,0,0,0,0,1,1
27-Sep-21,0,0,43,38,44,53,62,47,0,0,20,20
28-Sep-21,0,0,36,29,31,30,75,83,0,0,22,22
29-Sep-21,0,0,33,27,87,67,54,69,0,0,27,27
30-Sep-21,2,0,52,26,48,49,131,108,0,0,34,34
1-Oct-21,2,0,14,21,13,17,18,14,0,0,8,8
2-Oct-21,0,0,0,0,95,55,15,16,0,0,14,14
3-Oct-21,2,0,0,0,12,8,40,41,0,0,8,8
4-Oct-21,0,0,86,71,44,56,127,131,0,0,43,43
5-Oct-21,1,1,36,19,122,108,93,108,0,0,38,38
6-Oct-21,2,0,21,20,98,85,88,98,0,0,33,33
7-Oct-21,0,0,20,21,110,93,72,80,0,0,31,31
8-Oct-21,0,1,15,13,75,72,71,70,0,0,25,25
9-Oct-21,2,5,8,5,24,19,33,32,0,0,10,10
10-Oct-21,0,0,0,0,1,2,4,6,0,0,1,1
11-Oct-21,0,0,11,18,34,38,74,76,0,0,21,21
12-Oct-21,2,2,17,17,32,31,71,65,0,0,20,20
13-Oct-21,0,1,17,15,41,32,25,43,0,0,18,18
14-Oct-21,0,0,10,16,15,16,38,46,0,0,10,10
15-Oct-21,2,3,11,23,24,18,75,66,0,0,19,19
16-Oct-21,0,1,11,23,21,16,64,55,0,0,18,18
17-Oct-21,0,0,0,10,29,7,36,40,0,0,16,16
18-Oct-21,1,3,0,0,19,12,35,44,0,0,9,9
19-Oct-21,0,0,0,0,24,16,0,0,0,0,4,4
20-Oct-21,4,3,19,11,27,30,90,99,0,0,24,24
21-Oct-21,0,0,2,7,28,27,23,24,0,0,9,9
22-Oct-21,1,2,24,20,36,25,107,84,0,0,27,27
23-Oct-21,0,0,1,2,8,9,12,0,0,0,3,3
24-Oct-21,0,0,1,1,12,11,40,29,0,0,8,8
25-Oct-21,0,1,16,4,29,22,52,61,0,0,18,18
26-Oct-21,1,2,21,21,39,30,111,110,0,0,27,27
27-Oct-21,0,0,6,2,5,2,7,5,0,0,3,3
28-Oct-21,2,9,49,27,48,49,162,140,0,0,36,36
29-Oct-21,0,0,1,1,13,15,19,17,0,0,5,5
30-Oct-21,0,0,12,10,7,2,33,28,0,0,6,6
31-Oct-21,0,0,0,0,5,3,9,15,0,0,3,3
